# x_index original_841_index pi_of_i y_family squared_error euclidean_error order_rank
368 368 727 M2 0.00027597826294639314 0.016612593504519189 147
369 369 722 M2 0.00023977941246910441 0.015484812316237623 122
370 370 790 M2 0.00051625500844743044 0.022721245750341915 329
371 371 595 M2 0.0027584052546012006 0.052520522223233848 529
372 372 131 M1 0.00098891751857673469 0.031447058981353644 446
373 373 261 M1 8.3867304342594815e-05 0.0091579093871142232 49
374 374 286 M1 0.022384905909746625 0.14961586115698638 764
375 375 765 M2 0.00035257588797879769 0.01877700423333812 206
376 376 564 M2 0.00017949691973594888 0.013397646052047683 92
377 377 438 M2 0.025526835343873636 0.15977119685310501 782
378 378 62 M1 0.0045482516718412429 0.067440727100478701 572
379 379 529 M2 0.00057258717580900727 0.023928793864484838 361
380 380 241 M1 0.014639380125392206 0.12099330611811633 672
381 381 264 M1 0.00085667336094702429 0.029268982916169538 436
382 382 544 M2 0.00019850772657871676 0.01408927700695521 99
383 383 50 M1 0.00087903086296204486 0.029648454647115165 438
384 384 232 M1 0.00067830702334297746 0.026044328045526102 405
385 385 234 M1 0.0012092471082575309 0.034774230519991824 469
386 386 55 M1 0.00054548250738896983 0.02335556694642564 345
387 387 362 M1 0.014772202094461969 0.12154094822100892 676
388 388 257 M1 0.00017260805922100607 0.013138038636760286 88
389 389 248 M1 0.0011536402769937726 0.03396528046393512 465
390 390 536 M2 0.00055236594659097582 0.023502466819271883 350
391 391 59 M1 0.0094273714207926945 0.097094651865036796 624
392 392 435 M2 0.0023450351680098765 0.048425563166677538 517
393 393 195 M1 0.0007175761638416419 0.026787612134000334 415
394 394 707 M2 0.011310802724658345 0.10635225773183353 638
395 395 575 M2 0.0027958222592974233 0.052875535546199656 532
396 396 771 M2 0.00014167106907599477 0.011902565650984446 67
397 397 639 M2 0.011169320629542324 0.10568500664494621 637
398 398 58 M1 0.00059227000386410261 0.024336598033909806 377
399 399 480 M2 0.00042856291528434366 0.02070176116383202 256
400 400 665 M2 0.019778961845394898 0.14063769709930157 744
401 401 219 M1 0.00021593678912103974 0.014694787821572646 110
402 402 217 M1 0.00011791204697988352 0.010858731370647471 59
403 403 495 M2 0.0030626082839767398 0.055340837398586043 545
404 404 634 M2 0.02469687083697357 0.1571523809459264 778
405 405 774 M2 0.00012848560021165662 0.011335148883524054 63
406 406 51 M1 0.0012033174756054046 0.034688866738557554 468
407 407 830 E3 0.34964049559850746 0.59130406357347776 835
408 408 750 M2 0.00033593092515208864 0.018328418512029036 191
409 409 661 M2 0.00063508431803339471 0.025200879310718401 388
410 410 693 M2 0.00016038333426038773 0.012664254192821136 81
411 411 86 M1 0.0005739933895257313 0.023958159143092177 366
412 412 560 M2 8.0638066473645906e-05 0.0089798700699757292 47
413 413 301 M1 0.008633890467272861 0.092918730443720871 616
414 414 45 E2 6.8663663629915279e-05 0.0082863540613417712 37
415 415 304 M1 0.0001752537025421781 0.013238342137223153 90
416 416 664 M2 0.00046854328936166628 0.0216458607904991 295
417 417 657 M2 0.00048473554272592792 0.022016710533727057 310
418 418 379 M1 0.016659148662119351 0.12907032448289324 708
419 419 795 M2 0.00039927728297496856 0.019981923905744627 234
420 420 300 M1 0.0014363338137410378 0.037898994890907568 477
421 421 193 M1 0.0043084418317513532 0.065638722045385317 569
422 422 83 M1 0.00076177576773481899 0.027600285645891766 425
423 423 692 M2 0.00014927754505746359 0.012217919015014938 69
424 424 660 M2 0.00046513639274872384 0.021567020952109352 289
425 425 779 M2 0.00016814510967372686 0.012967077915772961 86
